detection threshold,accuracy
0.25,0.6900878293601004
0.26,0.685069008782936
0.27,0.685069008782936
0.28,0.685069008782936
0.29,0.6863237139272271
0.3,0.6800501882057717
0.31,0.6787954830614805
0.32,0.6750313676286073
0.33,0.6675031367628608
0.34,0.6637390213299874
0.35,0.6624843161856964
0.36,0.657465495608532
0.37,0.6549560853199499
0.38,0.6524466750313677
0.39,0.644918444165621
0.4,0.6424090338770388
0.41,0.6373902132998746
0.42,0.6311166875784191
0.43,0.6248431618569636
0.44,0.6210790464240903
0.45,0.616060225846926
0.46,0.6097867001254705
0.47,0.6060225846925973
0.48,0.5972396486825596
0.49,0.589711417816813
0.5,0.5846925972396487
0.51,0.5734002509410289
0.52,0.562107904642409
0.53,0.5570890840652447
0.54,0.548306148055207
0.55,0.534504391468005
0.56,0.5244667503136763
0.57,0.5106649937264742
0.58,0.5006273525721455
0.59,0.4880803011292346
0.6,0.48180677540777916
0.61,0.47176913425345046
0.62,0.4604767879548306
0.63,0.4504391468005019
0.64,0.44165621079046424
0.65,0.4328732747804266
0.66,0.41530740276035133
0.67,0.40401505646173147
0.68,0.3989962358845671
0.69,0.39146800501882056
0.7,0.37766624843161856
0.71,0.36888331242158096
0.72,0.3475533249686324
0.73,0.33751568381430364
0.74,0.3224592220828105
0.75,0.3099121706398996
0.76,0.30112923462986196
0.77,0.29109159347553326
0.78,0.27352572145545795
0.79,0.2534504391468005
0.8,0.24215809284818068
0.81,0.2258469259723965
0.82,0.21957340025094102
0.83,0.1944792973651192
0.84,0.18318695106649938
0.85,0.16938519447929737
0.86,0.1618569636135508
0.87,0.1480552070263488
0.88,0.1342534504391468
0.89,0.12045169385194479
0.9,0.10163111668757842
0.91,0.08406524466750313
0.92,0.07277289836888332
0.93,0.06148055207026349
0.94,0.04642409033877039
0.95,0.03638644918444166
0.96,0.026348808030112924
0.97,0.012547051442910916
0.98,0.0012547051442910915
0.99,0.0
